a,b,c,d,e,f,g
3.850000000000000089e-01,1.999994809971219922e+00,-5.430632628284171937e-05,-2.024524242177704103e+00,1.198863300800406763e-05,-9.093587669379336880e-03,-4.972391798173365907e-02
3.900000000000000133e-01,1.999994533042855460e+00,-5.647499420962254907e-05,-2.024524180192572853e+00,1.281073704085111534e-05,-9.344151733850267205e-03,-5.050258191731540891e-02
3.950000000000000178e-01,1.999994245129020465e+00,-5.870093171831200366e-05,-2.024524113981791107e+00,1.367834393738406973e-05,-9.598622193872353298e-03,-5.128648700407605759e-02
4.000000000000000222e-01,1.999993945941656470e+00,-6.098484997826966389e-05,-2.024524043312727173e+00,1.459340281211677741e-05,-9.857025437054217631e-03,-5.207570604473643616e-02
4.050000000000000266e-01,1.999993635189092123e+00,-6.332745363864949757e-05,-2.024523967943094416e+00,1.555792273363938868e-05,-1.011938821530499952e-02,-5.287031200176523643e-02
4.100000000000000311e-01,1.999993312576054727e+00,-6.572944049135403860e-05,-2.024523887620713669e+00,1.657397377801900023e-05,-1.038573764564493587e-02,-5.367037799682991550e-02
4.150000000000000355e-01,1.999992977803684457e+00,-6.819150113398860674e-05,-2.024523802083280533e+00,1.764368808220032490e-05,-1.065610121101594025e-02,-5.447597731024753087e-02
4.199999999999999845e-01,1.999992630569544350e+00,-7.071431863281547306e-05,-2.024523711058130893e+00,1.876926089740631572e-05,-1.093050676109217842e-02,-5.528718338043565883e-02
4.249999999999999889e-01,1.999992270567633623e+00,-7.329856818570824233e-05,-2.024523614262004223e+00,1.995295164253888144e-05,-1.120898251309065778e-02,-5.610406980336324345e-02
4.299999999999999933e-01,1.999991897488400117e+00,-7.594491678510586943e-05,-2.024523511400811326e+00,2.119708495757945466e-05,-1.149155705258179255e-02,-5.692671033200146641e-02
4.349999999999999978e-01,1.999991511018751389e+00,-7.865402288096694683e-05,-2.024523402169399411e+00,2.250405175698970224e-05,-1.177825933429999319e-02,-5.775517887577465148e-02
4.400000000000000022e-01,1.999991110845137809e+00,-8.142651102524290372e-05,-2.024523286241826980e+00,2.387637524210695525e-05,-1.206911868395542375e-02,-5.858954956091264737e-02
4.450000000000000067e-01,1.999990696651947841e+00,-8.426298470453914141e-05,-2.024523163276124915e+00,2.531667776018580007e-05,-1.236416479851756324e-02,-5.942989669784325135e-02
4.500000000000000111e-01,1.999990268117814773e+00,-8.716405620640423047e-05,-2.024523032925518162e+00,2.682760343663965195e-05,-1.266342774581711607e-02,-6.027629470712016213e-02
4.550000000000000155e-01,1.999989824918185555e+00,-9.013032545210597187e-05,-2.024522894830290021e+00,2.841187331275750114e-05,-1.296693796619016563e-02,-6.112881816958001119e-02
4.600000000000000200e-01,1.999989366725348106e+00,-9.316237952566004481e-05,-2.024522748617496148e+00,3.007228674683421653e-05,-1.327472627329411535e-02,-6.198754182611925651e-02
4.650000000000000244e-01,1.999988893208460183e+00,-9.626079220419242650e-05,-2.024522593900681677e+00,3.181172281183806342e-05,-1.358682385492357078e-02,-6.285254057746782197e-02
4.700000000000000289e-01,1.999988404033578693e+00,-9.942612348830162216e-05,-2.024522430279593888e+00,3.363314169307825849e-05,-1.390326227382623209e-02,-6.372388948396270902e-02
4.750000000000000333e-01,1.999987898863686775e+00,-1.026589191324211390e-04,-2.024522257339898434e+00,3.553958608587252146e-05,-1.422407346851876919e-02,-6.460166376532167076e-02
4.799999999999999822e-01,1.999987377358723117e+00,-1.059597101751816485e-04,-2.024522074652894243e+00,3.753418259321459282e-05,-1.454928975410271427e-02,-6.548593880041683746e-02
4.849999999999999867e-01,1.999986839175610820e+00,-1.093290124697736230e-04,-2.024521881775229293e+00,3.962014312344185323e-05,-1.487894382308035772e-02,-6.637679012704833514e-02
4.899999999999999911e-01,1.999986283968284706e+00,-1.127673262143093354e-04,-2.024521678248615064e+00,4.180076628790276673e-05,-1.521306874617060420e-02,-6.727429344171798054e-02
4.949999999999999956e-01,1.999985711392880061e+00,-1.162750853927081436e-04,-2.024521463586122394e+00,4.407948418376349969e-05,-1.555169796676362896e-02,-6.817852430578415224e-02
5.000000000000000000e-01,1.999985121108543096e+00,-1.198526497175398504e-04,-2.024521237269865104e+00,4.645987066658426360e-05,-1.589486530077313664e-02,-6.908955810075828596e-02
5.050000000000000044e-01,1.999984512765517364e+00,-1.235004200879075142e-04,-2.024520998781770498e+00,4.894553770822812210e-05,-1.624260495217482933e-02,-7.000747070763226054e-02
5.100000000000000089e-01,1.999983886011736933e+00,-1.272187743884336001e-04,-2.024520747586222580e+00,5.154019454033694891e-05,-1.659495150572851824e-02,-7.093233813306600022e-02
